apc_nosubsp,leaflength_min,leaflength_max,leafwidth_min,leafwidth_max,extra_reference,leafarea_mm2
Eucalyptus brachyandra,3.3,9.7,0.9,4.5,NA,1169.9999999999998
Eucalyptus brachycalyx,5,11,0.5,2,NA,666.6666666666665
Eucalyptus brandiana,14,23.8,4.2,6.2,NA,6551.999999999999
Eucalyptus brassiana,10,22,1,2.5,NA,1866.6666666666665
Eucalyptus brevifolia,5,11,1.5,2.8,NA,1146.6666666666665
Eucalyptus brevipes,7,12.5,0.7,1,NA,552.5
Eucalyptus brevistylis,5.3,9,1,3,NA,953.3333333333333
Eucalyptus bridgesiana,12,20,1.5,2.5,NA,2133.333333333333
Eucalyptus brockwayi,7,15,0.8,1.8,NA,953.3333333333333
Eucalyptus brookeriana,6.5,16,1.3,5.5,NA,2550
Eucalyptus broviniensis,10,15,2.5,4.5,NA,2916.6666666666665
Eucalyptus brownii,6,17,1,3.6,NA,1763.3333333333328
Eucalyptus buprestium,3,7.7,0.6,1,NA,285.3333333333333
Eucalyptus burdettiana,6.5,9.5,1,2.5,NA,933.3333333333333
Eucalyptus burgessiana,7,13,1.3,2.5,NA,1266.6666666666663
Eucalyptus burracoppinensis,6,11.5,0.9,2.3,NA,933.3333333333331
Eucalyptus cadens,5,13,0.9,2,NA,869.9999999999998
Eucalyptus caesia,8,20,1.5,4,NA,2566.6666666666665
Eucalyptus calcareana,7.5,14,1,2.5,NA,1254.1666666666665
Eucalyptus calcicola,4.5,11,1.2,2.2,NA,878.3333333333334
Eucalyptus caleyi,4.5,11,1.5,4.5,NA,1550
Eucalyptus caliginosa,5,18,1.3,3.5,NA,1839.9999999999995
Eucalyptus calycogona,5,11,0.7,2.5,NA,853.3333333333333
Eucalyptus calyerup,3.8,7.7,1.5,4,NA,1054.1666666666665
Eucalyptus camaldulensis,8,30,0.7,4.2,NA,3103.333333333333
Eucalyptus cambageana,7.5,16.5,1.2,3,NA,1680
Eucalyptus cameronii,5.5,13,0.8,2.6,NA,1048.3333333333335
Eucalyptus camfieldii,6,11,1.8,4,NA,1643.3333333333333
Eucalyptus campanulata,9,17.5,1.5,4,NA,2429.1666666666665
Eucalyptus campaspe,7,12,0.8,2.5,NA,1044.9999999999998
Eucalyptus camphora,5,15,1.5,6,NA,2499.9999999999995
Eucalyptus canaliculata,8,17,1.5,5,NA,2708.333333333333
Eucalyptus canescens,7.5,12.5,2,5.8,NA,2599.9999999999995
Eucalyptus canobolensis,6.5,19,1.1,3.7,NA,2040
Eucalyptus capillosa,7,12.5,1,2.2,NA,1040
Eucalyptus capitellata,8,13,2,3.5,NA,1925
Eucalyptus captiosa,4,8.8,0.5,1.3,NA,384
Eucalyptus carnea,8,17,1.7,4,NA,2375
Eucalyptus carnei,8.3,14.5,1.5,3,NA,1710
Eucalyptus castrensis,6,13,0.8,2.2,https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Eucalyptus~castrensis,949.9999999999999
Eucalyptus celastroides,5,10.5,0.4,1.5,NA,490.83333333333326
Eucalyptus cephalocarpa,8.5,25,0.8,3,NA,2121.666666666666
Eucalyptus ceracea,6,10,3,5.5,NA,2266.6666666666665
Eucalyptus cerasiformis,5,11.2,0.5,1.5,NA,539.9999999999999
Eucalyptus ceratocorys,6,15.5,1.2,4.5,NA,2042.4999999999995
Eucalyptus cernua,5.5,8.3,1.4,2.5,NA,897
Eucalyptus chapmaniana,14,30,1.7,4.8,NA,4766.666666666666
Eucalyptus chartaboma,8.5,16.5,1.3,2.5,NA,1583.333333333333
Eucalyptus chloroclada,8.5,18,1,3.5,NA,1987.4999999999998
