apc_nosubsp,budlength_min,budlength_max,budwidth_min,budwidth_max,frtlength_min,frtlength_max,frtwidth_min,frtwidth_max,bud_n_min,bud_n_max,max_height_m,colours_all,tree_names,range_names,subgenus
Corymbia hamersleyana,0.6,0.8,0.5,0.8,1.1,1.7,0.9,1.6,7,9,8,white_cream,Corymbia_hamersleyana,Corymbia hamersleyana,Corymbia
Corymbia hendersonii,0.8,1.2,0.4,0.6,1.7,3.1,1.4,2.2,7,7,25,white_cream,Corymbia_hendersonii,Corymbia hendersonii,Corymbia
Corymbia henryi,1.2,1.3,0.6,0.8,0.9,1.5,0.9,1.6,3,3,30,white_cream,Corymbia_henryi,Corymbia henryi,Blakella
Corymbia hylandii,0.5,0.7,0.3,0.5,1,1.8,0.8,1.2,7,7,5,white_cream,Corymbia_hylandii,Corymbia hylandii,Corymbia
Corymbia intermedia,0.7,1,0.4,0.6,1,2,0.8,1.6,7,7,35,white_cream,Corymbia_intermedia,Corymbia intermedia,Corymbia
Corymbia jacobsiana,0.4,NA,0.2,NA,0.7,1.1,0.4,0.8,7,7,18,white_cream,Corymbia_jacobsiana,Corymbia jacobsiana,Corymbia
Corymbia kombolgiensis,0.4,0.6,0.3,0.5,0.8,1,0.4,0.8,7,13,12,white_cream,NA,Corymbia kombolgiensis,Blakella
Corymbia lamprophylla,0.6,0.9,0.4,0.6,1.1,1.8,1,1.4,7,7,15,white_cream,Corymbia_lamprophylla,Corymbia lamprophylla,Corymbia
Corymbia latifolia,0.5,0.6,0.3,0.6,0.8,1.4,0.8,1.2,7,7,12,white_cream,Corymbia_latifolia,Corymbia latifolia,Corymbia
Corymbia leichhardtii,0.6,0.9,0.5,0.6,0.8,1.5,0.7,1.3,7,7,15,white_cream,Corymbia_leichhardtii,Corymbia leichhardtii,Blakella
Corymbia lenziana,0.6,0.8,0.4,0.5,1.2,1.9,1,1.7,7,7,10,white_cream,Corymbia_lenziana,Corymbia lenziana,Corymbia
Corymbia leptoloma,0.6,0.8,0.5,0.6,0.8,1.1,0.8,1.1,7,7,19,white_cream,Corymbia_leptoloma,Corymbia leptoloma,Blakella
Corymbia ligans,0.7,0.9,0.4,0.5,1.1,2,0.7,1.2,7,7,20,NA,Corymbia_ligans,Corymbia ligans,Corymbia
Corymbia maculata,0.8,1,0.6,0.8,0.9,1.4,0.8,1.3,3,3,60,white_cream,Corymbia_maculata,Corymbia maculata,Blakella
Corymbia nesophila,0.5,0.7,0.3,0.5,0.8,1.5,0.6,1,7,7,35,white_cream,Corymbia_nesophila,Corymbia nesophila,Corymbia
Corymbia novoguinensis,1.1,1.2,0.6,0.7,1.7,2.4,1.1,1.5,7,7,25,white_cream,Corymbia_novaguineesis,Corymbia novoguinensis,Corymbia
Corymbia oocarpa,0.7,NA,0.5,NA,1,1.4,0.8,1.1,7,7,15,white_cream,NA,Corymbia oocarpa,Corymbia
